transaction_id,amount,category,date
1001,1299.43,Entertainment,2024-03-29
1002,2079.82,Entertainment,2024-09-05
1003,3279.96,Food,2024-05-17
1004,4052.08,FOOD ,2024-10-08
1005,3847.47,FOOD ,2024-10-18
1006,"$3,921.89",Food,2024-10-09
1007,"$1,359.49",food,2024-10-12
1008,"$4,190.84",Entertainment,2024-08-22
1009,1090.21,Entertainment,2024-02-21
1010,1925.04,utilities,2024-12-15
1011,"$4,348.94",FOOD ,2024-08-27
1012,3699.22,Food,
1013,1162.18,Food,2024-06-09
1014,"$3,500.21",Entertainment,2024-06-16
1015,,Utilities,2024-10-07
1016,$318.59, Entertainment,2024-05-22
1017,3778.44, Entertainment,2024-07-19
1018,,Utilities,2024-04-15
1019,2180.06, Transport,
1020,3264.76,Utilities,2024-05-19
1021,3459.0,FOOD ,
1022,946.0,FOOD ,2024-08-25
1023,4648.33,FOOD ,2024-01-14
1024,"$4,531.66",Entertainment,2024-06-20
1025,1443.08,Utilities,
1026,4746.31,utilities,2024-03-13
1027,803.88,food,2024-07-18
1028,3995.52,Entertainment,2024-01-22
1029,288.43,food,
1030,$751.63, Entertainment,2024-12-03
1031,3143.07,Entertainment,2024-11-05
1032,,Food,2024-12-14
1033,3089.99,FOOD ,2024-01-24
1034,2709.02,food,2024-06-23
1035,3316.74,Utilities,2024-04-20
1036,1663.52,Food,2024-07-06
1037,3066.82,Entertainment,2024-06-20
1038,4701.38,Food,2024-09-10
1039,3189.85,utilities,2024-01-25
1040,"$1,430.00", Entertainment,2024-12-05
1041,1063.07,Entertainment,2024-06-19
1042,2839.24,Food,2024-04-13
1043,"$4,452.48",food,2024-01-25
1044,$687.45,food,2024-08-10
1045,$265.33,utilities,2024-12-26
1046,,utilities,2024-12-08
1047,,food,2024-12-29
1048,"$3,818.28",Entertainment,2024-09-28
1049,1664.51,Food,2024-07-20
1050,$113.96,Utilities,2024-08-19
1051,$621.29,utilities,2024-12-08
1052,2449.66, Transport,2024-05-11
1053,"$2,249.28",utilities,2024-01-19
1054,"$1,791.99",Entertainment,
1055,"$3,541.23",Food,2024-08-21
1056,3560.33,food,2024-07-21
1057,"$3,752.47",FOOD ,2024-12-26
1058,2851.8,food,2024-06-26
1059,, Transport,2024-03-09
1060,3188.16,food,2024-10-10
1061,983.18,food,2024-04-07
1062,, Transport,2024-07-20
1063,3296.47,Entertainment,2024-12-12
1064,"$1,952.36",Utilities,
1065,1437.59,Entertainment,
1066,3215.57,food,
1067,"$3,209.11",FOOD ,2024-08-31
1068,"$1,868.24",FOOD ,2024-06-11
1069,4754.06, Entertainment,
1070,"$4,064.58", Entertainment,2024-01-30
1071,1659.4, Entertainment,2024-11-13
1072,,FOOD ,
1073,4230.39,FOOD ,2024-02-02
1074,"$2,008.21", Transport,2024-02-12
1075,$197.96,utilities,2024-12-02
1076,"$3,095.25",Food,2024-06-07
1077,,FOOD ,2024-12-15
1078,613.65, Entertainment,
1079,, Entertainment,2024-01-05
1080,3350.28,Entertainment,2024-09-08
1081,2864.55,FOOD ,2024-12-10
1082,2950.86,utilities,2024-07-13
1083,4907.49,Entertainment,2024-11-02
1084,3334.41,FOOD ,2024-02-22
1085,4227.72,Food,2024-01-26
1086,"$2,086.74", Entertainment,
1087,3902.05,Entertainment,2024-04-04
1088,"$1,533.99",utilities,2024-02-13
1089,3737.97,Utilities,2024-02-12
1090,,Entertainment,2024-08-27
1091,2213.61,utilities,
1092,"$3,536.39",Utilities,2024-01-19
1093,2968.84,food,2024-12-26
1094,1220.84, Transport,
1095,2666.94,food,2024-04-29
1096,4900.83,Food,2024-02-16
1097,4695.48,Utilities,2024-04-11
1098,235.74,Food,2024-08-02
1099,"$3,628.41", Entertainment,
1100,3074.27,food,
